
piazza,405353439582567_404305028561529,post,2022-10-29T07:45:46+0000,neutrale
natura,404305028561529_2100891023452143,sottocommento,2022-10-29T13:33:07+0000,neutrale
piazza,405353439582567_403712068620825,post,2022-10-28T13:00:14+0000,positivo
piazza,403511625307536_852796106077012,commento,2022-10-28T09:17:22+0000,positivo
piazza,413427137669466_1318485028911923,commento,2022-10-27T16:33:57+0000,neutrale
sport,413427137669466_817684986197220,commento,2022-10-27T16:28:25+0000,neutrale
darsena,405353439582567_402876548704377,post,2022-10-27T11:09:48+0000,neutrale
verde,405353439582567_402876548704377,post,2022-10-27T11:09:48+0000,neutrale
sport,405353439582567_402200522105313,post,2022-10-26T12:07:08+0000,neutrale
piazza,405353439582567_401338572191508,post,2022-10-25T09:00:03+0000,neutrale
verde,405353439582567_400661575592541,post,2022-10-24T11:10:21+0000,neutrale
energia rinnovabile,400591468932885_644645127243059,commento,2022-10-25T06:25:53+0000,negativo
verde,400591468932885_1471121500048188,commento,2022-10-26T00:52:05+0000,positivo
piazza,398286532496712_410026867969697,commento,2022-10-21T13:02:49+0000,positivo
darsena,405353439582567_395395649452467,post,2022-10-17T09:00:02+0000,neutrale
piazza,405353439582567_393916889600343,post,2022-10-15T07:54:05+0000,neutrale
movimento,405353439582567_393205863004779,post,2022-10-14T10:07:42+0000,neutrale
piazza,405353439582567_392473806411318,post,2022-10-13T11:19:27+0000,neutrale
energia rinnovabile,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
biodiversità,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
gioco,2852193754925728_828112791954108,commento,2022-10-11T17:04:53+0000,negativo
gioco,2852193754925728_610524157436615,commento,2022-10-11T16:24:37+0000,neutrale
piazza,2852193754925728_812480146745912,commento,2022-10-11T17:03:33+0000,positivo
gioco,2852193754925728_435869585334437,commento,2022-10-11T16:52:57+0000,neutrale
verde,405353439582567_390118886646810,post,2022-10-10T11:03:48+0000,neutrale
darsena,405353439582567_390046576654041,post,2022-10-10T09:00:01+0000,neutrale
piazza,405353439582567_387874850204547,post,2022-10-07T17:05:12+0000,neutrale
darsena,405353439582567_386718903653475,post,2022-10-06T09:00:02+0000,neutrale
darsena,405353439582567_386073157051383,post,2022-10-05T13:02:39+0000,neutrale
piazza,405353439582567_386073157051383,post,2022-10-05T13:02:39+0000,neutrale
natura,405353439582567_385212477137451,post,2022-10-04T10:30:10+0000,neutrale
darsena,405353439582567_385159860476046,post,2022-10-04T09:00:09+0000,neutrale
verde,405353439582567_380628247595874,post,2022-09-28T17:00:35+0000,positivo
darsena,405353439582567_379718794353486,post,2022-09-27T13:00:08+0000,neutrale
sport,405353439582567_379718794353486,post,2022-09-27T13:00:08+0000,neutrale
piazza,378821077776591_429546692602480,commento,2022-09-26T11:03:02+0000,neutrale
darsena,405353439582567_376721007986598,post,2022-09-23T13:30:04+0000,neutrale
piazza,405353439582567_375105524814813,post,2022-09-21T07:00:05+0000,positivo
darsena,405353439582567_374372848221414,post,2022-09-20T09:15:52+0000,neutrale
gioco,405353439582567_373942678264431,post,2022-09-19T17:00:04+0000,neutrale
darsena,405353439582567_373703114955054,post,2022-09-19T09:59:04+0000,neutrale
gioco,405353439582567_370773061914726,post,2022-09-15T09:00:06+0000,neutrale
piazza,405353439582567_370202575305108,post,2022-09-14T13:07:00+0000,neutrale
natura,405353439582567_366147812377251,post,2022-09-08T12:30:04+0000,neutrale
sport,405353439582567_366147812377251,post,2022-09-08T12:30:04+0000,neutrale
gioco,405353439582567_365999135725452,post,2022-09-08T07:00:09+0000,neutrale
sport,405353439582567_362748386050527,post,2022-09-03T11:00:04+0000,neutrale
natura,405353439582567_359997272992305,post,2022-08-30T09:28:31+0000,neutrale
verde,359923699666329_798197124703729,commento,2022-08-31T19:44:14+0000,neutrale
piazza,405353439582567_359188486406517,post,2022-08-29T07:04:55+0000,neutrale
sport,405353439582567_355899440068755,post,2022-08-24T10:12:34+0000,neutrale
movimento,405353439582567_355899440068755,post,2022-08-24T10:12:34+0000,neutrale
darsena,405353439582567_355212456804120,post,2022-08-23T09:00:09+0000,neutrale
piazza,405353439582567_354469166878449,post,2022-08-22T09:20:03+0000,neutrale
darsena,405353439582567_353206990338000,post,2022-08-20T09:59:01+0000,neutrale
natura,405353439582567_351873310471368,post,2022-08-18T08:30:10+0000,neutrale
darsena,405353439582567_351837607141605,post,2022-08-18T07:00:04+0000,positivo
darsena,351837607141605_834488054202958,commento,2022-08-18T07:08:36+0000,positivo
darsena,405353439582567_350568513935181,post,2022-08-16T07:00:05+0000,positivo
sport,405353439582567_343886921270007,post,2022-08-06T08:00:03+0000,neutrale
piazza,405353439582567_342549741403725,post,2022-08-04T07:00:06+0000,positivo
piazza,342549741403725_526633212484697,commento,2022-08-04T08:35:56+0000,positivo
piazza,342549741403725_1293430177857869,commento,2022-08-04T08:58:36+0000,positivo
natura,341885061470193_413931273907041,commento,2022-08-03T11:40:33+0000,positivo
gioco,405353439582567_338957451762954,post,2022-07-29T13:04:49+0000,neutrale
verde,405353439582567_338957451762954,post,2022-07-29T13:04:49+0000,neutrale
gioco,338957451762954_404524704876990,commento,2022-07-30T03:20:14+0000,positivo
gioco,338957451762954_1054775398497525,sottocommento,2022-07-30T06:56:41+0000,negativo
gioco,338957451762954_5219561714759687,commento,2022-07-30T08:04:01+0000,neutrale
gioco,338957451762954_1283259829095597,commento,2022-07-29T13:43:37+0000,positivo
piazza,405353439582567_338797591778940,post,2022-07-29T07:00:35+0000,neutrale
movimento,338342918491074_1103703873897011,commento,2022-07-28T13:34:35+0000,positivo
esplorazione,405353439582567_336923215299711,post,2022-07-26T09:07:44+0000,neutrale
darsena,405353439582567_336871448638221,post,2022-07-26T07:00:05+0000,neutrale
piazza,405353439582567_334140912244608,post,2022-07-22T07:00:02+0000,neutrale
cortile,405353439582567_334140912244608,post,2022-07-22T07:00:02+0000,neutrale
verde,405353439582567_332264255765607,post,2022-07-20T08:45:37+0000,neutrale
piazza,405353439582567_332264255765607,post,2022-07-20T08:45:37+0000,neutrale
natura,405353439582567_331899095802123,post,2022-07-18T18:20:19+0000,neutrale
piazza,331577032500996_775481827197016,commento,2022-07-18T08:28:34+0000,neutrale
piazza,331577032500996_990565701621647,sottocommento,2022-07-21T14:45:42+0000,negativo
darsena,331577032500996_575305167506045,commento,2022-07-18T13:34:47+0000,neutrale
darsena,331577032500996_643508560671474,commento,2022-07-18T15:45:42+0000,positivo
darsena,331577032500996_767692027763351,sottocommento,2022-07-18T12:41:50+0000,negativo
piazza,405353439582567_331561599169206,post,2022-07-18T07:00:02+0000,positivo
socializzazione,405353439582567_329679809357385,post,2022-07-15T10:00:10+0000,neutrale
piazza,405353439582567_327433869581979,post,2022-07-12T07:00:06+0000,positivo
piazza,326202926371740_1782830781887348,sottocommento,2022-07-10T09:55:31+0000,positivo
natura,326202926371740_616756106385006,sottocommento,2022-07-10T11:19:07+0000,positivo
natura,326202926371740_1696863244003179,sottocommento,2022-07-10T12:43:59+0000,neutrale
sport,326202926371740_340237298307457,commento,2022-07-11T07:52:46+0000,positivo
sport,405353439582567_333333395658693,post,2022-07-15T08:16:20+0000,neutrale
natura,323505476641485_334755988871956,commento,2022-07-06T18:44:18+0000,positivo
verde,323505476641485_1013885375831226,sottocommento,2022-07-07T07:42:35+0000,neutrale
gioco,323505476641485_1122335231681611,commento,2022-07-06T20:42:23+0000,positivo
piazza,323505476641485_375741944647769,commento,2022-07-06T12:39:29+0000,neutrale
piazza,405353439582567_322739873384712,post,2022-07-05T07:00:02+0000,positivo
gioco,405353439582567_317982530527113,post,2022-06-29T14:00:01+0000,neutrale
sport,405353439582567_317924947199538,post,2022-06-29T08:30:02+0000,neutrale
natura,405353439582567_315199814138718,post,2022-06-24T12:03:04+0000,neutrale
piazza,405353439582567_313789330946433,post,2022-06-22T12:30:01+0000,positivo
piazza,313634604295239_525109572645919,commento,2022-06-22T15:18:05+0000,neutrale
darsena,405353439582567_313252201000146,post,2022-06-21T16:00:05+0000,neutrale
cortile,313252201000146_764275184768427,commento,2022-06-21T21:21:26+0000,positivo
verde,405353439582567_313069677685065,post,2022-06-21T10:31:35+0000,neutrale
verde,313069677685065_718689906054039,commento,2022-06-22T06:46:00+0000,positivo
verde,313069677685065_2697315783745083,commento,2022-06-21T12:33:00+0000,neutrale
darsena,311928497799183_476580634150491,sottocommento,2022-06-20T13:08:32+0000,negativo
piazza,405353439582567_311085094550190,post,2022-06-18T11:16:54+0000,positivo
verde,405353439582567_309783648013668,post,2022-06-17T07:00:05+0000,neutrale
