
parco,2089214337940970_803641560976106,sottocommento,2022-10-11T20:04:32+0000,negativo
clima,2089214337940970_502867331701955,commento,2022-10-11T19:16:18+0000,negativo
mare,2089214337940970_639488467882667,commento,2022-10-11T19:47:09+0000,negativo
parco,2089214337940970_639488467882667,commento,2022-10-11T19:47:09+0000,negativo
parco,2089214337940970_1221175271792460,sottocommento,2022-10-11T20:22:56+0000,positivo
energia rinnovabile,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
biodiversità,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
trasporto,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
impatto ambientale,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
clima,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
acqua,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
mare,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
salute,2089214337940970_3329157770688076,commento,2022-10-11T18:49:30+0000,neutrale
mare,2089214337940970_351714163796618,commento,2022-10-11T19:57:26+0000,negativo
parco,2089214337940970_351714163796618,commento,2022-10-11T19:57:26+0000,negativo
salute,2089214337940970_1515657228952570,commento,2022-10-11T20:51:19+0000,negativo
acqua,2089214337940970_677924310072880,commento,2022-10-11T19:16:08+0000,negativo
acqua,2852193754925728_610076483934998,commento,2022-10-11T16:33:22+0000,neutrale
bicicletta,2852193754925728_576589300913544,commento,2022-10-11T15:27:44+0000,negativo
bicicletta,2852193754925728_800392091245812,commento,2022-10-11T15:13:12+0000,neutrale
bicicletta,2852193754925728_654209309644412,commento,2022-10-11T14:43:17+0000,positivo
mare,390867849905247_636606921280992,commento,2022-10-12T11:08:07+0000,negativo
parco,390867849905247_636606921280992,commento,2022-10-12T11:08:07+0000,negativo
qualità dell'aria,405353439582567_390776323247733,post,2022-10-11T07:00:02+0000,neutrale
verde,405353439582567_390118886646810,post,2022-10-10T11:03:48+0000,neutrale
qualità dell'aria,405353439582567_389983126660386,post,2022-10-10T07:00:02+0000,neutrale
mare,405353439582567_387697570222275,post,2022-10-07T12:58:05+0000,neutrale
mare,405353439582567_387668770225155,post,2022-10-07T12:18:38+0000,neutrale
qualità dell'aria,405353439582567_387477253577640,post,2022-10-07T07:00:02+0000,positivo
mare,405353439582567_386970923628273,post,2022-10-06T15:26:21+0000,neutrale
mare,386970923628273_538457921423144,commento,2022-10-12T11:09:05+0000,negativo
parco,386970923628273_538457921423144,commento,2022-10-12T11:09:05+0000,negativo
qualità dell'aria,405353439582567_386651953660170,post,2022-10-06T07:00:02+0000,neutrale
qualità dell'aria,405353439582567_385879473737418,post,2022-10-05T07:00:02+0000,neutrale
parco,405353439582567_385212477137451,post,2022-10-04T10:30:10+0000,neutrale
ciclabile,385212477137451_507416654543105,commento,2022-10-04T13:20:23+0000,neutrale
ciclabile,385212477137451_507995987809057,sottocommento,2022-10-04T16:48:39+0000,negativo
ciclopedonale,385212477137451_1811306482544028,commento,2022-10-04T11:52:51+0000,neutrale
qualità dell'aria,405353439582567_385096387149060,post,2022-10-04T07:00:02+0000,neutrale
mare,405353439582567_384543490537683,post,2022-10-03T14:06:18+0000,neutrale
mare,405353439582567_384438073881558,post,2022-10-03T11:31:33+0000,neutrale
qualità dell'aria,405353439582567_384272883898077,post,2022-10-03T07:00:04+0000,positivo
parco,405353439582567_382846524040713,post,2022-10-01T13:06:26+0000,neutrale
acqua,405353439582567_382006700791362,post,2022-09-30T11:02:12+0000,neutrale
mare,405353439582567_381971930794839,post,2022-09-30T09:59:06+0000,neutrale
qualità dell'aria,405353439582567_381873717471327,post,2022-09-30T07:00:15+0000,neutrale
qualità dell'aria,405353439582567_381032817555417,post,2022-09-29T07:00:07+0000,neutrale
verde,405353439582567_380628247595874,post,2022-09-28T17:00:35+0000,positivo
bicicletta,405353439582567_380628247595874,post,2022-09-28T17:00:35+0000,positivo
mare,405353439582567_380628247595874,post,2022-09-28T17:00:35+0000,positivo
parco,405353439582567_380628247595874,post,2022-09-28T17:00:35+0000,positivo
qualità dell'aria,405353439582567_380279257630773,post,2022-09-28T07:00:04+0000,neutrale
acqua,405353439582567_380279257630773,post,2022-09-28T07:00:04+0000,neutrale
mare,405353439582567_380279257630773,post,2022-09-28T07:00:04+0000,neutrale
sport,405353439582567_379718794353486,post,2022-09-27T13:00:08+0000,neutrale
mare,405353439582567_379718794353486,post,2022-09-27T13:00:08+0000,neutrale
candiano,405353439582567_379718794353486,post,2022-09-27T13:00:08+0000,neutrale
qualità dell'aria,405353439582567_379544684370897,post,2022-09-27T07:00:07+0000,neutrale
qualità dell'aria,405353439582567_378821077776591,post,2022-09-26T07:00:04+0000,neutrale
acqua,405353439582567_377383514587014,post,2022-09-24T10:26:51+0000,neutrale
qualità dell'aria,405353439582567_376507451341287,post,2022-09-23T07:00:03+0000,neutrale
qualità dell'aria,405353439582567_375787661413266,post,2022-09-22T07:00:02+0000,neutrale
qualità dell'aria,405353439582567_375105524814813,post,2022-09-21T07:00:05+0000,positivo
qualità dell'aria,405353439582567_374312654894100,post,2022-09-20T07:00:07+0000,positivo
mare,405353439582567_374312654894100,post,2022-09-20T07:00:07+0000,positivo
candiano,405353439582567_374312654894100,post,2022-09-20T07:00:07+0000,positivo
salute,405353439582567_374312654894100,post,2022-09-20T07:00:07+0000,positivo
mare,374312654894100_1317250625770437,commento,2022-09-20T07:06:29+0000,neutrale
qualità dell'aria,405353439582567_373620921629940,post,2022-09-19T07:00:07+0000,neutrale
passeggiata,373620921629940_483809666927278,commento,2022-09-19T17:48:17+0000,positivo
acqua,405353439582567_372123025113063,post,2022-09-17T08:39:22+0000,neutrale
mare,405353439582567_372123025113063,post,2022-09-17T08:39:22+0000,neutrale
parco,405353439582567_372123025113063,post,2022-09-17T08:39:22+0000,neutrale
bici,372123025113063_803824754094372,commento,2022-09-17T08:48:08+0000,negativo
parco,372123025113063_455696216525884,sottocommento,2022-09-17T09:32:00+0000,positivo
trasporto,372123025113063_613518977113191,commento,2022-09-17T09:48:26+0000,negativo
passeggiata,372123025113063_613518977113191,commento,2022-09-17T09:48:26+0000,negativo
parco,372123025113063_623334296067400,commento,2022-09-17T09:16:11+0000,neutrale
mare,371555668503132_454244063145655,commento,2022-09-16T13:02:35+0000,neutrale
acqua,405353439582567_371495055175860,post,2022-09-16T11:01:56+0000,neutrale
mare,405353439582567_371495055175860,post,2022-09-16T11:01:56+0000,neutrale
mare,371414461850586_877458993619347,sottocommento,2022-09-17T13:52:48+0000,neutrale
qualità dell'aria,405353439582567_371381965187169,post,2022-09-16T07:00:09+0000,neutrale
qualità dell'aria,405353439582567_370721845253181,post,2022-09-15T07:00:06+0000,neutrale
bicicletta,405353439582567_370202575305108,post,2022-09-14T13:07:00+0000,neutrale
bici,405353439582567_370202575305108,post,2022-09-14T13:07:00+0000,neutrale
bicicletta,370202575305108_1384095345414939,commento,2022-09-14T14:28:45+0000,neutrale
bici,370202575305108_5411115409007575,commento,2022-09-14T15:19:10+0000,positivo
bici,370202575305108_8255103037863280,commento,2022-09-15T08:27:51+0000,negativo
ciclabile,370202575305108_8255103037863280,commento,2022-09-15T08:27:51+0000,negativo
bici,370202575305108_490646752925041,commento,2022-09-14T14:46:43+0000,neutrale
qualità dell'aria,405353439582567_370026088656090,post,2022-09-14T07:00:07+0000,positivo
ciclabile,369540195371346_1215822012322245,commento,2022-09-13T18:49:47+0000,neutrale
qualità dell'aria,405353439582567_369388992053133,post,2022-09-13T07:00:04+0000,positivo
